id,sentence_1,sentence_2,similarity_score,similarity_label,relationship
1388,Sources confirmed that the hospital opened a new wing dedicated to pediatric care.,It was noted that donors contributed generously to fund the hospital's expansion.,0.47,Medium,Related
1389,It was noted that several flights were canceled by the airline because of poor weather conditions.,"As widely reported, passengers were offered vouchers for future travel after the disruption.",0.54,Medium,Related
1390,Sources confirmed that a much better camera is one of the new smartphone's key features.,Reviewers praised the phone's battery life and sleek design.,0.62,Medium,Related
1391,It was noted that the factory upgraded its equipment to reduce energy consumption.,It was noted that new equipment was installed at the factory to cut energy use.,0.77,High,Paraphrase
1392,Sources confirmed that litter along the riverbank was cleared by volunteers last weekend.,Sources confirmed that a new exhibit about ancient civilizations opened at the museum.,0.07,Very Low,Unrelated
1393,"Notably, the airline canceled several flights due to bad weather.","Sources confirmed that due to bad weather, the airline had to cancel a number of flights.",0.76,High,Paraphrase
1394,It was noted that the factory upgraded its equipment to reduce energy consumption.,"As widely reported, the factory's energy consumption rose after the equipment failed.",0.16,Low,Contradiction
1395,Sources confirmed that a new pediatric care wing was opened at the hospital.,"Notably, the hospital's new wing focuses on caring for young patients.",0.8,High,Paraphrase
1396,It was noted that a much better camera is one of the new smartphone's key features.,"As widely reported, a much better camera is one of the new smartphone's key features.",0.94,Very High,Same Meaning
1397,"As widely reported, the company announced record profits this quarter.",Record profits were announced by the company for the current quarter.,0.97,Very High,Same Meaning
1398,"As widely reported, this spring, the novelist's long-awaited sequel finally arrived.",Sources confirmed that a bike-sharing program was launched by the city to ease traffic congestion.,0.05,Very Low,Unrelated
1399,"Notably, the factory's energy consumption dropped after an equipment upgrade.","As widely reported, the factory's energy consumption dropped after an equipment upgrade.",0.76,High,Paraphrase
1400,"According to the report, the museum unveiled a new exhibit on ancient civilizations.",Sources confirmed that litter along the riverbank was cleared by volunteers last weekend.,0.07,Very Low,Unrelated
1401,"It was noted that due to bad weather, the airline had to cancel a number of flights.","This spring, the novelist's long-awaited sequel finally arrived.",0.11,Very Low,Unrelated
1402,"Notably, the scientists published groundbreaking research on renewable energy.",It was noted that groundbreaking research on renewable energy was published by the scientists.,0.91,Very High,Same Meaning
1403,"As widely reported, record profits were announced by the company for the current quarter.","Sources confirmed that this quarter, the company reported record breaking profits.",0.9,Very High,Same Meaning
1404,"As widely reported, the chef prepared a delicious meal for the guests.","As widely reported, a delicious meal was made by the chef for the guests.",0.8,High,Paraphrase
1405,"According to the report, the council voted to fund the construction of a new public park.","As widely reported, the council voted to fund the construction of a new public park.",0.99,Very High,Same Meaning
1406,"Notably, critics gave the film glowing reviews when it came out.","As widely reported, a bike-sharing program was launched by the city to ease traffic congestion.",0.13,Very Low,Unrelated
1407,"Notably, upon its release, the film was widely praised by critics.","According to the report, critics gave the film glowing reviews when it came out.",0.79,High,Paraphrase
1408,"As widely reported, the museum unveiled a new exhibit on ancient civilizations.",It was noted that visitors can attend guided tours of the museum every weekend.,0.58,Medium,Related
1409,"Notably, a bike-sharing program was launched by the city to ease traffic congestion.",It was noted that a bike-sharing program was launched by the city to ease traffic congestion.,0.76,High,Paraphrase
1410,"Notably, the museum's latest exhibit focuses on ancient civilizations.","Notably, the museum unveiled a new exhibit on ancient civilizations.",0.9,Very High,Same Meaning
1411,"According to the report, the new smartphone features a significantly improved camera.",It was noted that the hikers reached the summit just before sunset.,0.13,Very Low,Unrelated
1412,"It was noted that this spring, the novelist's long-awaited sequel finally arrived.",It was noted that the book tour will include stops in several major cities.,0.6,Medium,Related
1413,"According to the report, the hospital's new wing focuses on caring for young patients.",The hospital closed its pediatric care wing due to budget cuts.,0.3,Low,Contradiction
1414,"Due to bad weather, the airline had to cancel a number of flights.","Notably, due to bad weather, the airline had to cancel a number of flights.",0.77,High,Paraphrase
1415,"Sources confirmed that to cut down on traffic, the city introduced a bike-sharing program.","As widely reported, the city shut down its bike-sharing program after low usage.",0.17,Low,Contradiction
