id,text,task,input_type,expected_output,difficulty
1172,Please review: Donors contributed generously to the hospital's expansion.|The hospital's expansion was funded by generous donors.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
1173,Here is a case to review: The vaccination campaign reached thousands of families this month.,Text Classification,Single Sentence,Health,Advanced
1174,"As an example, Teachers attended a workshop on integrating technology into lessons.",Text Classification,Single Sentence,Education,Intermediate
1175,"Consider the following: The city council held a lengthy meeting to discuss the proposed transit expansion, hearing feedback from dozens of residents before ultimately postponing the vote until next month.",Text Summarization,Paragraph,City council postpones vote on transit expansion after resident feedback.,Beginner
1176,"Take the following text: Overall, the customer service team was poor based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
1177,Input sample: Ingrid Smith was appointed as the new director at Zenith Pharmaceuticals.,Named Entity Recognition,Single Sentence,"PERSON: Ingrid Smith, ORG: Zenith Pharmaceuticals",Beginner
1178,"As an example, Jack Kowalski joined Evergreen Energy Co. in Dublin last year.",Named Entity Recognition,Single Sentence,"PERSON: Jack Kowalski, ORG: Evergreen Energy Co., GPE: Dublin",Intermediate
1179,"As an example, Overall, the online course was ordinary based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1180,Example: Write an opening line for a travel guide about a mountain village.,Text Generation,Prompt,"Tucked between two peaks, this quiet mountain village feels frozen in time.",Advanced
1181,"As an example, Julia Patel was appointed as the new director at Zenith Pharmaceuticals.",Named Entity Recognition,Single Sentence,"PERSON: Julia Patel, ORG: Zenith Pharmaceuticals",Intermediate
1182,Task input: The startup's app is available in over forty countries.|In how many countries is the startup's app available?,Question Answering,Context + Question,over forty,Intermediate
1183,"Reference text: Overall, the printer was satisfying based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Advanced
1184,Take the following text: Engineers unveiled a chip that doubles processing speed.,Text Classification,Single Sentence,Technology,Beginner
1185,The students submitted their assignments before the [MASK].,Masked Language Modeling,Masked Sentence,deadline,Beginner
1186,"Take the following text: Following months of negotiation, the two companies finalized a merger that industry analysts believe will reshape the competitive landscape of the logistics sector.",Text Summarization,Paragraph,Two companies finalize merger reshaping the logistics industry.,Beginner
1187,"As an example, Overall, the software update was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1188,"Task input: Volunteers spent the weekend restoring a historic trail damaged by recent storms, clearing debris and repairing several washed-out sections.",Text Summarization,Paragraph,Volunteers restore storm-damaged historic trail over the weekend.,Beginner
1189,"Take the following text: Overall, the customer support agent was outstanding based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1190,Here is a case to review: Draft a short thank-you message for event volunteers.,Text Generation,Prompt,Thank you to every volunteer who made this year's event possible.,Advanced
1191,Task input: Continue the story: The old bookstore had one rule that no customer ever questioned...,Text Generation,Prompt,...every book had to be returned to the exact shelf it came from.,Advanced
1192,Please review: Victor Patel was appointed as the new director at Northfield University.,Named Entity Recognition,Single Sentence,"PERSON: Victor Patel, ORG: Northfield University",Beginner
1193,Please review: Write an opening line for a mystery novel set in a small coastal town.,Text Generation,Prompt,No one in the small coastal town expected the tide to bring back more than driftwood.,Intermediate
1194,Reference text: Donors contributed generously to the hospital's expansion.|The hospital's expansion was funded by generous donors.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
1195,Take the following text: The Eiffel Tower was completed in 1889 and stands in Paris.|What year was the Eiffel Tower completed?,Question Answering,Context + Question,1889,Intermediate
1196,Here is a case to review: Aisha Yamamoto was appointed as the new director at Golden Gate Retailers.,Named Entity Recognition,Single Sentence,"PERSON: Aisha Yamamoto, ORG: Golden Gate Retailers",Beginner
1197,"As an example, Overall, the delivery was typical based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1198,"Reference text: Overall, the customer service team was standard based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1199,Note the following: The tech firm rolled out a privacy update giving users more control over how their data is shared with third-party advertisers.,Text Summarization,Paragraph,Tech firm gives users more control over data sharing with new update.,Intermediate
1200,Please review: The school introduced a new coding elective for ninth graders.,Text Classification,Single Sentence,Education,Beginner
1201,Case in point: Generate a short caption for a photo of a mountain sunrise.,Text Generation,Prompt,Golden light spills over the peaks as another day begins in the highlands.,Advanced
1202,Example: The bike-sharing program was launched to ease congestion.|The novelist postponed her sequel's release indefinitely.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
1203,Nina Moore joined Northfield University in Stockholm last year.,Named Entity Recognition,Single Sentence,"PERSON: Nina Moore, ORG: Northfield University, GPE: Stockholm",Intermediate
1204,"Review this input: Overall, the mobile app was subpar based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
1205,Example: Mount Everest is the tallest mountain above sea level on Earth.|What is the tallest mountain above sea level?,Question Answering,Context + Question,Mount Everest,Beginner
1206,Review this input: Draft a short welcome message for new employees.,Text Generation,Prompt,Welcome to the team; we're excited to have you join us on this journey.,Advanced
1207,Input sample: Continue the story: The archivist found a letter that had never been opened...,Text Generation,Prompt,...its wax seal was still intact after more than a century.,Beginner
1208,Note the following: The recipe requires two cups of flour and a teaspoon of salt.|How much flour does the recipe require?,Question Answering,Context + Question,two cups,Advanced
1209,"Input sample: The university announced a new scholarship program aimed at supporting first-generation college students, covering tuition, housing, and textbook costs for qualifying applicants.",Text Summarization,Paragraph,University launches scholarship for first-generation students.,Advanced
1210,Input sample: The bike-sharing program was launched to ease congestion.|The novelist postponed her sequel's release indefinitely.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
